IBGE-Code,Município,UF,CAD ou AWC (m³/m³),DTA (mm/m)
1100015,Alta Floresta D'Oeste,RO,"0,110","110,3"
1100023,Ariquemes,RO,"0,109","109,1"
1100031,Cabixi,RO,"0,118","118,4"
1100049,Cacoal,RO,"0,116","116,5"
1100056,Cerejeiras,RO,"0,118","118,3"
1100064,Colorado do Oeste,RO,"0,105","105,2"
1100072,Corumbiara,RO,"0,101","101,4"
1100080,Costa Marques,RO,"0,089","88,7"
1100098,Espigão D'Oeste,RO,"0,104","104,3"
1100106,Guajará-Mirim,RO,"0,091","91,2"
1100114,Jaru,RO,"0,105","105,4"
1100122,Ji-Paraná,RO,"0,108","107,9"
1100130,Machadinho D'Oeste,RO,"0,113","113,4"
1100148,Nova Brasilândia D'Oeste,RO,"0,113","113,1"
1100155,Ouro Preto do Oeste,RO,"0,108","108,5"
1100189,Pimenta Bueno,RO,"0,097","96,7"
1100205,Porto Velho,RO,"0,120","120,0"
1100254,Presidente Médici,RO,"0,115","114,6"
1100262,Rio Crespo,RO,"0,114","114,0"
1100288,Rolim de Moura,RO,"0,127","126,6"
1100296,Santa Luzia D'Oeste,RO,"0,110","109,7"
1100304,Vilhena,RO,"0,084","83,9"
1100320,São Miguel do Guaporé,RO,"0,098","98,0"
1100338,Nova Mamoré,RO,"0,096","95,6"
1100346,Alvorada D'Oeste,RO,"0,107","107,2"
1100379,Alto Alegre dos Parecis,RO,"0,097","96,5"
1100403,Alto Paraíso,RO,"0,114","114,2"
1100452,Buritis,RO,"0,110","109,5"
1100502,Novo Horizonte do Oeste,RO,"0,115","115,0"
1100601,Cacaulândia,RO,"0,107","107,0"
1100700,Campo Novo de Rondônia,RO,"0,102","102,0"
1100809,Candeias do Jamari,RO,"0,111","111,0"
1100908,Castanheiras,RO,"0,128","128,3"
1100924,Chupinguaia,RO,"0,081","81,5"
1100940,Cujubim,RO,"0,115","115,4"
1101005,Governador Jorge Teixeira,RO,"0,106","106,4"
1101104,Itapuã do Oeste,RO,"0,112","111,8"
1101203,Ministro Andreazza,RO,"0,110","109,9"
1101302,Mirante da Serra,RO,"0,111","111,2"
1101401,Monte Negro,RO,"0,107","107,1"
1101435,Nova União,RO,"0,107","106,7"
1101450,Parecis,RO,"0,098","98,0"
1101468,Pimenteiras do Oeste,RO,"0,113","112,9"
1101476,Primavera de Rondônia,RO,"0,125","125,2"
1101484,São Felipe D'Oeste,RO,"0,118","117,7"
1101492,São Francisco do Guaporé,RO,"0,106","106,5"
1101500,Seringueiras,RO,"0,105","104,6"
1101559,Teixeirópolis,RO,"0,107","106,7"
1101609,Theobroma,RO,"0,104","103,8"
1101708,Urupá,RO,"0,098","98,1"
1101757,Vale do Anari,RO,"0,112","111,9"
1101807,Vale do Paraíso,RO,"0,108","108,5"
1200013,Acrelândia,AC,"0,141","141,3"
1200054,Assis Brasil,AC,"0,151","150,8"
1200104,Brasiléia,AC,"0,130","129,9"
1200138,Bujari,AC,"0,145","145,3"
1200179,Capixaba,AC,"0,120","120,5"
1200203,Cruzeiro do Sul,AC,"0,131","131,5"
1200252,Epitaciolândia,AC,"0,118","118,0"
1200302,Feijó,AC,"0,142","141,6"
1200328,Jordão,AC,"0,134","134,0"
1200336,Mâncio Lima,AC,"0,141","140,6"
1200344,Manoel Urbano,AC,"0,154","153,6"
1200351,Marechal Thaumaturgo,AC,"0,137","137,2"
1200385,Plácido de Castro,AC,"0,146","145,5"
1200393,Porto Walter,AC,"0,134","134,0"
1200401,Rio Branco,AC,"0,134","134,1"
1200427,Rodrigues Alves,AC,"0,133","132,8"
1200435,Santa Rosa do Purus,AC,"0,152","151,9"
1200450,Senador Guiomard,AC,"0,133","132,8"
1200500,Sena Madureira,AC,"0,151","151,5"
1200609,Tarauacá,AC,"0,140","139,9"
1200708,Xapuri,AC,"0,127","126,6"
1200807,Porto Acre,AC,"0,147","147,3"
1300029,Alvarães,AM,"0,143","143,0"
1300060,Amaturá,AM,"0,154","153,7"
1300086,Anamã,AM,"0,132","132,1"
1300102,Anori,AM,"0,136","136,0"
1300144,Apuí,AM,"0,120","119,8"
1300201,Atalaia do Norte,AM,"0,132","132,3"
1300300,Autazes,AM,"0,134","134,3"
1300409,Barcelos,AM,"0,111","111,0"
1300508,Barreirinha,AM,"0,099","99,3"
1300607,Benjamin Constant,AM,"0,137","137,4"
1300631,Beruri,AM,"0,152","151,7"
1300680,Boa Vista do Ramos,AM,"0,105","105,0"
1300706,Boca do Acre,AM,"0,133","132,9"
1300805,Borba,AM,"0,126","126,5"
1300839,Caapiranga,AM,"0,144","144,2"
1300904,Canutama,AM,"0,140","140,5"
1301001,Carauari,AM,"0,132","132,4"
1301100,Careiro,AM,"0,148","147,9"
1301159,Careiro da Várzea,AM,"0,131","130,8"
1301209,Coari,AM,"0,146","145,8"
1301308,Codajás,AM,"0,150","149,8"
1301407,Eirunepé,AM,"0,142","142,0"
1301506,Envira,AM,"0,142","142,4"
1301605,Fonte Boa,AM,"0,161","160,6"
1301654,Guajará,AM,"0,118","118,4"
1301704,Humaitá,AM,"0,123","122,7"
1301803,Ipixuna,AM,"0,142","142,1"
1301852,Iranduba,AM,"0,083","82,5"
1301902,Itacoatiara,AM,"0,091","90,6"
1301951,Itamarati,AM,"0,124","123,9"
1302009,Itapiranga,AM,"0,106","106,0"
1302108,Japurá,AM,"0,119","118,9"
1302207,Juruá,AM,"0,145","145,3"
1302306,Jutaí,AM,"0,134","133,7"
1302405,Lábrea,AM,"0,123","122,8"
1302504,Manacapuru,AM,"0,100","100,2"
1302553,Manaquiri,AM,"0,148","148,1"
1302603,Manaus,AM,"0,098","98,1"
1302702,Manicoré,AM,"0,126","126,1"
1302801,Maraã,AM,"0,138","138,3"
1302900,Maués,AM,"0,116","116,1"
1303007,Nhamundá,AM,"0,103","103,1"
1303106,Nova Olinda do Norte,AM,"0,096","96,2"
1303205,Novo Airão,AM,"0,118","118,5"
1303304,Novo Aripuanã,AM,"0,116","115,6"
1303403,Parintins,AM,"0,086","85,9"
1303502,Pauini,AM,"0,134","134,2"
1303536,Presidente Figueiredo,AM,"0,104","103,5"
1303569,Rio Preto da Eva,AM,"0,107","107,3"
1303601,Santa Isabel do Rio Negro,AM,"0,102","102,3"
1303700,Santo Antônio do Içá,AM,"0,142","142,3"
1303809,São Gabriel da Cachoeira,AM,"0,100","99,8"
1303908,São Paulo de Olivença,AM,"0,141","140,7"
1303957,São Sebastião do Uatumã,AM,"0,117","116,9"
1304005,Silves,AM,"0,100","100,3"
1304062,Tabatinga,AM,"0,156","155,8"
1304104,Tapauá,AM,"0,138","138,5"
1304203,Tefé,AM,"0,148","148,5"
1304237,Tonantins,AM,"0,133","133,3"
1304260,Uarini,AM,"0,142","141,9"
1304302,Urucará,AM,"0,122","121,5"
1304401,Urucurituba,AM,"0,111","111,3"
1400027,Amajari,RR,"0,110","110,0"
1400050,Alto Alegre,RR,"0,108","107,6"
1400100,Boa Vista,RR,"0,108","107,8"
1400159,Bonfim,RR,"0,102","102,4"
1400175,Cantá,RR,"0,110","110,0"
1400209,Caracaraí,RR,"0,089","89,0"
1400233,Caroebe,RR,"0,119","118,6"
1400282,Iracema,RR,"0,114","114,1"
1400308,Mucajaí,RR,"0,104","104,1"
1400407,Normandia,RR,"0,099","98,6"
1400456,Pacaraima,RR,"0,095","95,1"
1400472,Rorainópolis,RR,"0,096","96,3"
1400506,São João da Baliza,RR,"0,120","120,2"
1400605,São Luiz,RR,"0,104","104,3"
1400704,Uiramutã,RR,"0,095","94,7"
1500107,Abaetetuba,PA,"0,098","97,6"
1500131,Abel Figueiredo,PA,"0,104","104,4"
1500206,Acará,PA,"0,111","111,2"
1500305,Afuá,PA,"0,118","117,8"
1500347,Água Azul do Norte,PA,"0,120","120,2"
1500404,Alenquer,PA,"0,117","117,1"
1500503,Almeirim,PA,"0,116","116,0"
1500602,Altamira,PA,"0,116","116,1"
1500701,Anajás,PA,"0,180","180,3"
1500800,Ananindeua,PA,"0,126","126,0"
1500859,Anapu,PA,"0,114","114,2"
1500909,Augusto Corrêa,PA,"0,122","121,7"
1500958,Aurora do Pará,PA,"0,106","106,1"
1501006,Aveiro,PA,"0,097","96,8"
1501105,Bagre,PA,"0,106","105,6"
1501204,Baião,PA,"0,121","120,7"
1501253,Bannach,PA,"0,126","125,6"
1501303,Barcarena,PA,"0,077","76,6"
1501402,Belém,PA,"0,062","62,3"
1501451,Belterra,PA,"0,092","91,5"
1501501,Benevides,PA,"0,121","120,6"
1501576,Bom Jesus do Tocantins,PA,"0,098","97,5"
1501600,Bonito,PA,"0,106","106,2"
1501709,Bragança,PA,"0,117","117,0"
1501725,Brasil Novo,PA,"0,095","95,5"
1501758,Brejo Grande do Araguaia,PA,"0,111","111,4"
1501782,Breu Branco,PA,"0,101","101,0"
1501808,Breves,PA,"0,164","164,0"
1501907,Bujaru,PA,"0,115","114,5"
1501956,Cachoeira do Piriá,PA,"0,138","138,0"
1502004,Cachoeira do Arari,PA,"0,095","95,2"
1502103,Cametá,PA,"0,120","120,5"
1502152,Canaã dos Carajás,PA,"0,105","104,8"
1502202,Capanema,PA,"0,111","111,1"
1502301,Capitão Poço,PA,"0,111","110,7"
1502400,Castanhal,PA,"0,106","106,1"
1502509,Chaves,PA,"0,125","125,2"
1502608,Colares,PA,"0,056","56,3"
1502707,Conceição do Araguaia,PA,"0,112","112,1"
1502756,Concórdia do Pará,PA,"0,106","106,2"
1502764,Cumaru do Norte,PA,"0,128","128,2"
1502772,Curionópolis,PA,"0,106","106,1"
1502806,Curralinho,PA,"0,164","163,7"
1502855,Curuá,PA,"0,092","92,1"
1502905,Curuçá,PA,"0,119","119,2"
1502939,Dom Eliseu,PA,"0,106","105,5"
1502954,Eldorado do Carajás,PA,"0,116","115,5"
1503002,Faro,PA,"0,116","116,3"
1503044,Floresta do Araguaia,PA,"0,133","133,3"
1503077,Garrafão do Norte,PA,"0,113","113,0"
1503093,Goianésia do Pará,PA,"0,105","104,7"
1503101,Gurupá,PA,"0,141","140,7"
1503200,Igarapé-Açu,PA,"0,113","112,6"
1503309,Igarapé-Miri,PA,"0,113","113,3"
1503408,Inhangapi,PA,"0,117","117,0"
1503457,Ipixuna do Pará,PA,"0,106","106,1"
1503507,Irituia,PA,"0,110","109,6"
1503606,Itaituba,PA,"0,115","114,9"
1503705,Itupiranga,PA,"0,118","117,5"
1503754,Jacareacanga,PA,"0,123","123,2"
1503804,Jacundá,PA,"0,098","98,0"
1503903,Juruti,PA,"0,098","98,4"
1504000,Limoeiro do Ajuru,PA,"0,117","116,7"
1504059,Mãe do Rio,PA,"0,106","106,2"
1504109,Magalhães Barata,PA,"0,115","114,7"
1504208,Marabá,PA,"0,111","111,2"
1504307,Maracanã,PA,"0,106","106,1"
1504406,Marapanim,PA,"0,108","107,9"
1504422,Marituba,PA,"0,128","127,6"
1504455,Medicilândia,PA,"0,083","82,8"
1504505,Melgaço,PA,"0,126","125,6"
1504604,Mocajuba,PA,"0,104","103,8"
1504703,Moju,PA,"0,109","108,7"
1504752,Mojuí dos Campos,PA,"0,107","107,4"
1504802,Monte Alegre,PA,"0,110","110,5"
1504901,Muaná,PA,"0,133","133,0"
1504950,Nova Esperança do Piriá,PA,"0,130","129,5"
1504976,Nova Ipixuna,PA,"0,106","105,7"
1505007,Nova Timboteua,PA,"0,117","116,7"
1505031,Novo Progresso,PA,"0,123","122,7"
1505064,Novo Repartimento,PA,"0,111","111,5"
1505106,Óbidos,PA,"0,111","110,8"
1505205,Oeiras do Pará,PA,"0,105","105,1"
1505304,Oriximiná,PA,"0,120","120,5"
1505403,Ourém,PA,"0,114","113,9"
1505437,Ourilândia do Norte,PA,"0,132","132,1"
1505486,Pacajá,PA,"0,118","117,6"
1505494,Palestina do Pará,PA,"0,100","99,8"
1505502,Paragominas,PA,"0,110","109,8"
1505536,Parauapebas,PA,"0,106","105,7"
1505551,Pau D'Arco,PA,"0,141","141,3"
1505601,Peixe-Boi,PA,"0,112","111,5"
1505635,Piçarra,PA,"0,116","116,3"
1505650,Placas,PA,"0,104","103,5"
1505700,Ponta de Pedras,PA,"0,133","132,9"
1505809,Portel,PA,"0,104","104,2"
1505908,Porto de Moz,PA,"0,089","89,2"
1506005,Prainha,PA,"0,089","89,1"
1506104,Primavera,PA,"0,110","109,7"
1506112,Quatipuru,PA,"0,132","132,0"
1506138,Redenção,PA,"0,119","119,3"
1506161,Rio Maria,PA,"0,118","117,9"
1506187,Rondon do Pará,PA,"0,108","108,2"
1506195,Rurópolis,PA,"0,117","116,9"
1506203,Salinópolis,PA,"0,112","111,9"
1506302,Salvaterra,PA,"0,076","76,1"
1506351,Santa Bárbara do Pará,PA,"0,116","115,5"
1506401,Santa Cruz do Arari,PA,"0,183","182,9"
1506500,Santa Izabel do Pará,PA,"0,118","118,2"
1506559,Santa Luzia do Pará,PA,"0,131","130,7"
1506583,Santa Maria das Barreiras,PA,"0,118","117,8"
1506609,Santa Maria do Pará,PA,"0,108","108,0"
1506708,Santana do Araguaia,PA,"0,144","144,1"
1506807,Santarém,PA,"0,078","78,4"
1506906,Santarém Novo,PA,"0,108","108,3"
1507003,Santo Antônio do Tauá,PA,"0,096","95,8"
1507102,São Caetano de Odivelas,PA,"0,070","70,4"
1507151,São Domingos do Araguaia,PA,"0,097","97,3"
1507201,São Domingos do Capim,PA,"0,108","107,9"
1507300,São Félix do Xingu,PA,"0,121","121,0"
1507409,São Francisco do Pará,PA,"0,105","105,5"
1507458,São Geraldo do Araguaia,PA,"0,105","105,2"
1507466,São João da Ponta,PA,"0,117","117,4"
1507474,São João de Pirabas,PA,"0,117","117,0"
1507508,São João do Araguaia,PA,"0,097","96,6"
1507607,São Miguel do Guamá,PA,"0,113","113,0"
1507706,São Sebastião da Boa Vista,PA,"0,170","170,5"
1507755,Sapucaia,PA,"0,119","119,4"
1507805,Senador José Porfírio,PA,"0,115","114,5"
1507904,Soure,PA,"0,112","112,4"
1507953,Tailândia,PA,"0,106","106,3"
1507961,Terra Alta,PA,"0,105","104,7"
1507979,Terra Santa,PA,"0,104","104,2"
1508001,Tomé-Açu,PA,"0,113","112,5"
1508035,Tracuateua,PA,"0,122","122,5"
1508050,Trairão,PA,"0,118","118,1"
1508084,Tucumã,PA,"0,117","117,1"
1508100,Tucuruí,PA,"0,094","94,4"
1508126,Ulianópolis,PA,"0,106","106,2"
1508159,Uruará,PA,"0,101","100,7"
1508209,Vigia,PA,"0,087","86,7"
1508308,Viseu,PA,"0,129","128,9"
1508357,Vitória do Xingu,PA,"0,091","91,2"
1508407,Xinguara,PA,"0,115","114,6"
1600055,Serra do Navio,AP,"0,123","123,4"
1600105,Amapá,AP,"0,134","133,9"
1600154,Pedra Branca do Amapari,AP,"0,123","123,0"
1600204,Calçoene,AP,"0,123","123,2"
1600212,Cutias,AP,"0,152","152,3"
1600238,Ferreira Gomes,AP,"0,110","110,1"
1600253,Itaubal,AP,"0,107","106,8"
1600279,Laranjal do Jari,AP,"0,121","120,7"
1600303,Macapá,AP,"0,115","114,9"
1600402,Mazagão,AP,"0,121","120,7"
1600501,Oiapoque,AP,"0,132","131,7"
1600535,Porto Grande,AP,"0,112","111,7"
1600550,Pracuúba,AP,"0,123","123,4"
1600600,Santana,AP,"0,120","120,3"
1600709,Tartarugalzinho,AP,"0,115","114,6"
1600808,Vitória do Jari,AP,"0,097","97,2"
1700251,Abreulândia,TO,"0,129","128,5"
1700301,Aguiarnópolis,TO,"0,086","85,6"
1700350,Aliança do Tocantins,TO,"0,101","101,2"
1700400,Almas,TO,"0,096","95,7"
1700707,Alvorada,TO,"0,111","111,1"
1701002,Ananás,TO,"0,107","107,5"
1701051,Angico,TO,"0,091","91,3"
1701101,Aparecida do Rio Negro,TO,"0,125","125,0"
1701309,Aragominas,TO,"0,112","111,5"
1701903,Araguacema,TO,"0,119","119,3"
1702000,Araguaçu,TO,"0,097","97,4"
1702109,Araguaína,TO,"0,069","68,9"
1702158,Araguanã,TO,"0,118","117,8"
1702208,Araguatins,TO,"0,102","101,6"
1702307,Arapoema,TO,"0,120","120,1"
1702406,Arraias,TO,"0,118","118,2"
1702554,Augustinópolis,TO,"0,126","125,9"
1702703,Aurora do Tocantins,TO,"0,118","118,4"
1702901,Axixá do Tocantins,TO,"0,112","112,0"
1703008,Babaçulândia,TO,"0,088","88,3"
1703057,Bandeirantes do Tocantins,TO,"0,105","104,7"
1703073,Barra do Ouro,TO,"0,126","125,9"
1703107,Barrolândia,TO,"0,124","124,0"
1703206,Bernardo Sayão,TO,"0,132","131,6"
1703305,Bom Jesus do Tocantins,TO,"0,117","116,7"
1703602,Brasilândia do Tocantins,TO,"0,091","91,3"
1703701,Brejinho de Nazaré,TO,"0,101","101,2"
1703800,Buriti do Tocantins,TO,"0,125","125,2"
1703826,Cachoeirinha,TO,"0,095","95,2"
1703842,Campos Lindos,TO,"0,061","60,8"
1703867,Cariri do Tocantins,TO,"0,107","107,5"
1703883,Carmolândia,TO,"0,105","105,2"
1703891,Carrasco Bonito,TO,"0,132","131,9"
1703909,Caseara,TO,"0,124","123,9"
1704105,Centenário,TO,"0,087","86,8"
1704600,Chapada de Areia,TO,"0,120","119,5"
1705102,Chapada da Natividade,TO,"0,120","120,4"
1705508,Colinas do Tocantins,TO,"0,103","103,4"
1705557,Combinado,TO,"0,143","142,6"
1705607,Conceição do Tocantins,TO,"0,110","109,9"
1706001,Couto Magalhães,TO,"0,125","125,2"
1706100,Cristalândia,TO,"0,124","123,5"
1706258,Crixás do Tocantins,TO,"0,113","112,7"
1706506,Darcinópolis,TO,"0,084","83,7"
1707009,Dianópolis,TO,"0,138","138,1"
1707108,Divinópolis do Tocantins,TO,"0,128","127,8"
1707207,Dois Irmãos do Tocantins,TO,"0,125","124,7"
1707306,Dueré,TO,"0,122","121,6"
1707405,Esperantina,TO,"0,103","103,5"
1707553,Fátima,TO,"0,110","109,6"
1707652,Figueirópolis,TO,"0,103","103,0"
1707702,Filadélfia,TO,"0,099","98,8"
1708205,Formoso do Araguaia,TO,"0,125","124,6"
1708254,Fortaleza do Tabocão,TO,"0,111","111,1"
1708304,Goianorte,TO,"0,127","126,6"
1709005,Goiatins,TO,"0,133","133,2"
1709302,Guaraí,TO,"0,104","103,6"
1709500,Gurupi,TO,"0,105","104,6"
1709807,Ipueiras,TO,"0,084","84,3"
1710508,Itacajá,TO,"0,118","118,1"
1710706,Itaguatins,TO,"0,109","109,0"
1710904,Itapiratins,TO,"0,111","111,4"
1711100,Itaporã do Tocantins,TO,"0,143","143,1"
1711506,Jaú do Tocantins,TO,"0,110","110,3"
1711803,Juarina,TO,"0,108","107,6"
1711902,Lagoa da Confusão,TO,"0,125","124,8"
1711951,Lagoa do Tocantins,TO,"0,088","88,1"
1712009,Lajeado,TO,"0,092","91,7"
1712157,Lavandeira,TO,"0,131","130,5"
1712405,Lizarda,TO,"0,070","69,7"
1712454,Luzinópolis,TO,"0,101","100,8"
1712504,Marianópolis do Tocantins,TO,"0,137","136,7"
1712702,Mateiros,TO,"0,080","80,1"
1712801,Maurilândia do Tocantins,TO,"0,105","105,4"
1713205,Miracema do Tocantins,TO,"0,086","86,0"
1713304,Miranorte,TO,"0,125","124,5"
1713601,Monte do Carmo,TO,"0,084","84,3"
1713700,Monte Santo do Tocantins,TO,"0,124","123,5"
1713809,Palmeiras do Tocantins,TO,"0,079","79,2"
1713957,Muricilândia,TO,"0,120","119,7"
1714203,Natividade,TO,"0,118","118,2"
1714302,Nazaré,TO,"0,089","89,1"
1714880,Nova Olinda,TO,"0,081","81,1"
1715002,Nova Rosalândia,TO,"0,117","117,5"
1715101,Novo Acordo,TO,"0,080","79,6"
1715150,Novo Alegre,TO,"0,142","141,6"
1715259,Novo Jardim,TO,"0,111","110,8"
1715507,Oliveira de Fátima,TO,"0,107","106,8"
1715705,Palmeirante,TO,"0,069","68,9"
1715754,Palmeirópolis,TO,"0,118","117,6"
1716109,Paraíso do Tocantins,TO,"0,138","138,1"
1716208,Paranã,TO,"0,102","102,4"
1716307,Pau D'Arco,TO,"0,111","111,2"
1716505,Pedro Afonso,TO,"0,126","125,8"
1716604,Peixe,TO,"0,107","107,2"
1716653,Pequizeiro,TO,"0,138","138,0"
1716703,Colméia,TO,"0,147","146,8"
1717008,Pindorama do Tocantins,TO,"0,116","116,1"
1717206,Piraquê,TO,"0,117","116,7"
1717503,Pium,TO,"0,124","123,9"
1717800,Ponte Alta do Bom Jesus,TO,"0,103","103,0"
1717909,Ponte Alta do Tocantins,TO,"0,088","87,5"
1718006,Porto Alegre do Tocantins,TO,"0,092","92,2"
1718204,Porto Nacional,TO,"0,089","89,2"
1718303,Praia Norte,TO,"0,107","106,8"
1718402,Presidente Kennedy,TO,"0,111","110,8"
1718451,Pugmil,TO,"0,104","103,7"
1718501,Recursolândia,TO,"0,092","92,4"
1718550,Riachinho,TO,"0,120","120,3"
1718659,Rio da Conceição,TO,"0,081","80,6"
1718709,Rio dos Bois,TO,"0,083","83,0"
1718758,Rio Sono,TO,"0,058","57,6"
1718808,Sampaio,TO,"0,096","96,4"
1718840,Sandolândia,TO,"0,114","114,4"
1718865,Santa Fé do Araguaia,TO,"0,119","118,9"
1718881,Santa Maria do Tocantins,TO,"0,107","107,0"
1718899,Santa Rita do Tocantins,TO,"0,121","121,1"
1718907,Santa Rosa do Tocantins,TO,"0,135","135,0"
1719004,Santa Tereza do Tocantins,TO,"0,134","133,7"
1720002,Santa Terezinha do Tocantins,TO,"0,071","70,5"
1720101,São Bento do Tocantins,TO,"0,103","103,0"
1720150,São Félix do Tocantins,TO,"0,075","74,5"
1720200,São Miguel do Tocantins,TO,"0,100","99,7"
1720259,São Salvador do Tocantins,TO,"0,105","104,7"
1720309,São Sebastião do Tocantins,TO,"0,108","107,7"
1720499,São Valério,TO,"0,119","119,2"
1720655,Silvanópolis,TO,"0,084","84,3"
1720804,Sítio Novo do Tocantins,TO,"0,118","117,9"
1720853,Sucupira,TO,"0,105","104,6"
1720903,Taguatinga,TO,"0,097","97,4"
1720937,Taipas do Tocantins,TO,"0,113","113,3"
1720978,Talismã,TO,"0,109","108,8"
1721000,Palmas,TO,"0,125","125,1"
1721109,Tocantínia,TO,"0,135","134,8"
1721208,Tocantinópolis,TO,"0,097","96,9"
1721257,Tupirama,TO,"0,067","67,4"
1721307,Tupiratins,TO,"0,071","71,3"
1722081,Wanderlândia,TO,"0,071","71,3"
1722107,Xambioá,TO,"0,111","110,6"
2100055,Açailândia,MA,"0,103","103,1"
2100105,Afonso Cunha,MA,"0,077","77,0"
2100154,Água Doce do Maranhão,MA,"0,064","64,4"
2100204,Alcântara,MA,"0,097","96,6"
2100303,Aldeias Altas,MA,"0,080","80,3"
2100402,Altamira do Maranhão,MA,"0,104","104,3"
2100436,Alto Alegre do Maranhão,MA,"0,091","91,1"
2100477,Alto Alegre do Pindaré,MA,"0,117","117,5"
2100501,Alto Parnaíba,MA,"0,088","87,8"
2100550,Amapá do Maranhão,MA,"0,105","104,6"
2100600,Amarante do Maranhão,MA,"0,103","103,2"
2100709,Anajatuba,MA,"0,140","140,0"
2100808,Anapurus,MA,"0,073","72,8"
2100832,Apicum-Açu,MA,"0,108","108,2"
2100873,Araguanã,MA,"0,141","141,2"
2100907,Araioses,MA,"0,083","82,8"
2100956,Arame,MA,"0,113","113,4"
2101004,Arari,MA,"0,123","123,1"
2101103,Axixá,MA,"0,082","82,1"
2101202,Bacabal,MA,"0,111","110,9"
2101251,Bacabeira,MA,"0,129","128,6"
2101301,Bacuri,MA,"0,106","105,9"
2101350,Bacurituba,MA,"0,085","85,3"
2101400,Balsas,MA,"0,084","83,7"
2101509,Barão de Grajaú,MA,"0,067","67,1"
2101608,Barra do Corda,MA,"0,085","85,1"
2101707,Barreirinhas,MA,"0,055","54,8"
2101731,Belágua,MA,"0,058","57,7"
2101772,Bela Vista do Maranhão,MA,"0,119","119,2"
2101806,Benedito Leite,MA,"0,077","76,8"
2101905,Bequimão,MA,"0,138","138,1"
2101939,Bernardo do Mearim,MA,"0,123","123,0"
2101970,Boa Vista do Gurupi,MA,"0,115","114,8"
2102002,Bom Jardim,MA,"0,131","130,7"
2102036,Bom Jesus das Selvas,MA,"0,104","103,6"
2102077,Bom Lugar,MA,"0,103","103,0"
2102101,Brejo,MA,"0,069","69,4"
2102150,Brejo de Areia,MA,"0,113","113,4"
2102200,Buriti,MA,"0,071","71,1"
2102309,Buriti Bravo,MA,"0,078","78,0"
2102325,Buriticupu,MA,"0,114","114,3"
2102358,Buritirana,MA,"0,095","95,4"
2102374,Cachoeira Grande,MA,"0,056","55,5"
2102408,Cajapió,MA,"0,088","88,2"
2102507,Cajari,MA,"0,106","106,5"
2102556,Campestre do Maranhão,MA,"0,093","93,4"
2102606,Cândido Mendes,MA,"0,132","131,9"
2102705,Cantanhede,MA,"0,113","113,2"
2102754,Capinzal do Norte,MA,"0,139","139,2"
2102804,Carolina,MA,"0,082","81,6"
2102903,Carutapera,MA,"0,112","111,9"
2103000,Caxias,MA,"0,087","87,2"
2103109,Cedral,MA,"0,092","92,2"
2103125,Central do Maranhão,MA,"0,134","133,8"
2103158,Centro do Guilherme,MA,"0,139","139,1"
2103174,Centro Novo do Maranhão,MA,"0,123","123,3"
2103208,Chapadinha,MA,"0,072","71,5"
2103257,Cidelândia,MA,"0,095","95,0"
2103307,Codó,MA,"0,114","113,6"
2103406,Coelho Neto,MA,"0,068","68,3"
2103505,Colinas,MA,"0,083","82,7"
2103554,Conceição do Lago-Açu,MA,"0,111","110,8"
2103604,Coroatá,MA,"0,115","115,2"
2103703,Cururupu,MA,"0,110","110,0"
2103752,Davinópolis,MA,"0,094","93,8"
2103802,Dom Pedro,MA,"0,140","139,8"
2103901,Duque Bacelar,MA,"0,073","72,6"
2104008,Esperantinópolis,MA,"0,125","125,0"
2104057,Estreito,MA,"0,072","71,7"
2104073,Feira Nova do Maranhão,MA,"0,103","103,0"
2104081,Fernando Falcão,MA,"0,075","75,2"
2104099,Formosa da Serra Negra,MA,"0,095","95,0"
2104107,Fortaleza dos Nogueiras,MA,"0,077","76,8"
2104206,Fortuna,MA,"0,093","92,9"
2104305,Godofredo Viana,MA,"0,118","118,4"
2104404,Gonçalves Dias,MA,"0,137","137,0"
2104503,Governador Archer,MA,"0,143","142,9"
2104552,Governador Edison Lobão,MA,"0,093","93,0"
2104602,Governador Eugênio Barros,MA,"0,116","116,2"
2104628,Governador Luiz Rocha,MA,"0,113","113,2"
2104651,Governador Newton Bello,MA,"0,145","145,4"
2104677,Governador Nunes Freire,MA,"0,125","125,1"
2104701,Graça Aranha,MA,"0,136","136,4"
2104800,Grajaú,MA,"0,057","57,4"
2104909,Guimarães,MA,"0,086","86,1"
2105005,Humberto de Campos,MA,"0,069","69,1"
2105104,Icatu,MA,"0,061","61,0"
2105153,Igarapé do Meio,MA,"0,129","129,4"
2105203,Igarapé Grande,MA,"0,120","120,0"
2105302,Imperatriz,MA,"0,103","103,3"
2105351,Itaipava do Grajaú,MA,"0,116","116,0"
2105401,Itapecuru Mirim,MA,"0,124","123,9"
2105427,Itinga do Maranhão,MA,"0,108","108,1"
2105450,Jatobá,MA,"0,093","92,7"
2105476,Jenipapo dos Vieiras,MA,"0,110","109,7"
2105500,João Lisboa,MA,"0,101","101,1"
2105609,Joselândia,MA,"0,124","123,7"
2105658,Junco do Maranhão,MA,"0,123","122,9"
2105708,Lago da Pedra,MA,"0,120","120,1"
2105807,Lago do Junco,MA,"0,110","109,5"
2105906,Lago Verde,MA,"0,115","115,4"
2105922,Lagoa do Mato,MA,"0,069","68,9"
2105948,Lago dos Rodrigues,MA,"0,123","122,8"
2105963,Lagoa Grande do Maranhão,MA,"0,120","120,4"
2105989,Lajeado Novo,MA,"0,087","87,4"
